shot_id;round_id;date;result;second_shot;direction_id;position_number;shot_number
1;1;2024-10-01 00:00:00;1;0;13;1;1
2;1;2024-10-01 00:00:00;1;0;12;2;2
3;1;2024-10-01 00:00:00;1;0;9;3;3
4;1;2024-10-01 00:00:00;1;0;4;4;4
5;1;2024-10-01 00:00:00;0;0;5;5;5
6;1;2024-10-01 00:00:00;1;0;4;1;6
7;1;2024-10-01 00:00:00;0;0;12;2;7
8;1;2024-10-01 00:00:00;1;0;10;3;8
9;1;2024-10-01 00:00:00;1;0;12;4;9
10;1;2024-10-01 00:00:00;1;1;2;5;10
11;1;2024-10-01 00:00:00;1;0;10;1;11
12;1;2024-10-01 00:00:00;1;0;2;2;12
13;1;2024-10-01 00:00:00;1;0;1;3;13
14;1;2024-10-01 00:00:00;1;0;7;4;14
15;1;2024-10-01 00:00:00;0;1;10;5;15
16;1;2024-10-01 00:00:00;1;0;4;1;16
17;1;2024-10-01 00:00:00;1;0;3;2;17
18;1;2024-10-01 00:00:00;1;0;10;3;18
19;1;2024-10-01 00:00:00;1;0;12;4;19
20;1;2024-10-01 00:00:00;1;0;5;5;20
21;1;2024-10-01 00:00:00;1;0;10;1;21
22;1;2024-10-01 00:00:00;1;0;12;2;22
23;1;2024-10-01 00:00:00;1;1;13;3;23
24;1;2024-10-01 00:00:00;1;0;13;4;24
25;1;2024-10-01 00:00:00;1;0;8;5;25
26;2;2024-10-01 00:00:00;1;0;4;1;1
27;2;2024-10-01 00:00:00;1;0;1;2;2
28;2;2024-10-01 00:00:00;1;0;10;3;3
29;2;2024-10-01 00:00:00;1;0;8;4;4
30;2;2024-10-01 00:00:00;1;0;7;5;5
31;2;2024-10-01 00:00:00;1;1;10;1;6
32;2;2024-10-01 00:00:00;1;1;11;2;7
33;2;2024-10-01 00:00:00;1;0;7;3;8
34;2;2024-10-01 00:00:00;1;1;4;4;9
35;2;2024-10-01 00:00:00;1;1;4;5;10
36;2;2024-10-01 00:00:00;0;0;7;1;11
37;2;2024-10-01 00:00:00;1;0;3;2;12
38;2;2024-10-01 00:00:00;1;0;4;3;13
39;2;2024-10-01 00:00:00;1;0;3;4;14
40;2;2024-10-01 00:00:00;1;0;10;5;15
41;2;2024-10-01 00:00:00;1;0;4;1;16
42;2;2024-10-01 00:00:00;1;1;3;2;17
43;2;2024-10-01 00:00:00;1;0;7;3;18
44;2;2024-10-01 00:00:00;1;0;11;4;19
45;2;2024-10-01 00:00:00;1;0;12;5;20
46;2;2024-10-01 00:00:00;1;0;4;1;21
47;2;2024-10-01 00:00:00;1;0;9;2;22
48;2;2024-10-01 00:00:00;1;0;12;3;23
49;2;2024-10-01 00:00:00;1;1;1;4;24
50;2;2024-10-01 00:00:00;1;0;1;5;25
51;3;2024-10-01 00:00:00;1;1;5;1;1
52;3;2024-10-01 00:00:00;1;0;2;2;2
53;3;2024-10-01 00:00:00;1;0;1;3;3
54;3;2024-10-01 00:00:00;1;0;10;4;4
55;3;2024-10-01 00:00:00;1;0;4;5;5
56;3;2024-10-01 00:00:00;1;1;11;1;6
